;追加した際には"遺伝可能な素質"を確認する事

0,处女,
1,Ａ处女,;アナルセックス未経験…判定が難しいので表記は無し
2,阴茎,;ペニスに関する色々な設定
3,外表年龄,;生きている年数とは無関係で、純粋に見た目が属する区分
4,Ｖ名器,;生まれ持ってのＶ名器。マイナスの場合も代入可能。子供にそのまま遺伝する
5,Ａ名器,;生まれ持ってのＡ名器。マイナスの場合も代入可能。子供にそのまま遺伝する
6,喉名器,;生まれ持っての喉名器。マイナスの場合も代入可能。子供にそのまま遺伝する
7,尿道名器,;生まれ持っての尿道名器。マイナスの場合も代入可能。子供にそのまま遺伝する
8,乳头,;乳首と乳輪に関する色々な設定
9,阴核,;クリトリスに関する色々な設定

;性格素質
10,胆怯,;ABL:服从が上げやすい。PALAM:反感が上がりにくい。反撃確率が低くなる。
11,叛逆,;コマンドを実行しにくい。売却の際に従順4以上必要。PALAM:恭顺と欲情が上がりにくい
12,刚强,;コマンドを実行しにくい。売却の際に従順4以上必要
13,坦率,;コマンドを実行しやすい。ABL:服从と奉仕精神が上げやすい。PALAM:恭顺が上がりやすい
14,腼腆,;PALAM:反感が上がりにくい（おとなしい）
15,高傲,;コマンドを実行しにくい。ABL:技巧と奉仕精神が上げにくい。PALAM:屈服が上がりにくい（プライド高い）
16,自大,;ABL:服从と奉仕精神が上げにくい。
17,自卑,;コマンドを実行しやすい。ABL:侍奉精神が上げやすい。PALAM:屈服が上がりやすい
18,强硬,;反撃確率が高くなる。
19,坏心眼,;ABL:施虐倾向が上げやすい。PALAM:恭顺が上がりにくい
20,沉着,;売却の際に欲望4以上必要。ABL:侍奉精神が上げにくい。快楽系PALAMが上がりにくい。ムードの比重が高い（自制心）
21,冷漠,;ABL:侍奉精神が上げにくい。PALAM:恭顺、欲情、屈服、恐怖、反感が上がりにくい
22,感情贫乏,;ABL:侍奉精神が上げにくい。PALAMが全体的に上がりにくい
23,好奇心,;コマンドを実行しやすい。PALAM:习得が上がりやすい
24,保守,;コマンドを実行しにくい。ABL:侍奉精神が上げにくい。PALAM:习得が上がりにくい
25,开朗,;ABL:侍奉精神が上げやすい。PALAM:抑郁が上がりにくい（楽観的）
26,阴郁,;ABL:侍奉精神が上げやすい。PALAM:抑郁が上がりやすい（悲観的）
27,底线明确,;全てのABLが上げにくい。反撃確率が低くなる。
28,喜欢被关注,;コマンドを実行しやすい。ABL:侍奉精神と露出癖が上げやすい

30,看重贞操,;情愛系調教の効果が低い。PALAM:反感が上がりやすい
31,不重贞操,;情愛系調教の効果が低い。PALAM:反感が上がりにくい
32,压抑,;コマンドを実行しにくい。売却の際に欲望4以上必要。PALAM:欲情が上がりにくい。PALAM:反感が上がりやすい。反撃確率が低くなる。
33,奔放,;ABL:受虐倾向が上げやすい。PALAM:欲情が上がりやすい。反撃確率が高くなる。
34,抵抗,;コマンドを実行しにくい。売却の際に欲望4以上必要。PALAM:欲情が上がりにくい。PALAM:反感が上がりやすい。反撃確率が非常に低くなる。
35,羞耻心强,;コマンドを実行しにくい。露出系調教の効果が高い
36,不知羞耻,;露出系調教の効果が低い

38,纯情,;好感度が上がりやすい
39,清纯,;ABL:欲望、露出癖、自慰中毒、精液中毒、レズ中毒が上げにくい。PALAM:恭顺、恥情が上がりやすい
